Google Flu Trends - United States,,,
Copyright 2015 Google Inc.,,,
,,,
Exported data may be used for any purpose,,,
If you choose to use the data,,,
,,,
Each week begins on the Sunday (Pacific Time) indicated for the row.,,,
Data for the current week will be updated each day until Saturday (Pacific Time).,,,
Note: To open these files in a spreadsheet application,,,
For more information,,,
,,,
Date,"Bellevue, WA","Seattle, WA","Spokane, WA"
2006-12-10,1487,1234,1342
2006-12-17,1592,1214,1327
2006-12-24,1947,1546,1301
2006-12-31,1944,2258,1424
2007-01-07,2362,2084,1612
2007-01-14,2497,1986,1758
2007-01-21,2426,2575,2316
2007-01-28,2455,2473,3238
2007-02-04,3243,4849,4738
2007-02-11,5201,5676,5568
2007-02-18,4927,4677,5927
2007-02-25,4565,3192,4490
2007-03-04,3618,2840,3537
2007-03-11,3288,1896,2993
2007-03-18,2861,1471,2343
2007-03-25,2556,1350,2038
2007-04-01,2302,1376,1855
2007-04-08,1976,1347,1713
2007-04-15,1691,1052,1512
2007-04-22,1504,843,1349
2007-04-29,1370,800,1238
2007-05-06,1207,799,1137
2007-05-13,1110,770,1037
2007-05-20,1041,768,976
2007-05-27,1022,762,954
2007-06-03,1007,701,914
2007-06-10,963,635,871
2007-06-17,924,618,846
2007-06-24,884,609,829
2007-07-01,909,639,823
2007-07-08,921,658,802
2007-07-15,894,634,781
2007-07-22,848,547,761
2007-07-29,794,510,722
2007-08-05,776,528,714
2007-08-12,759,515,688
2007-08-19,747,520,689
2007-08-26,752,503,670
2007-09-02,732,528,660
2007-09-09,727,585,652
2007-09-16,709,616,667
2007-09-23,731,709,652
2007-09-30,801,1061,638
2007-10-07,847,1249,683
2007-10-14,881,1218,732
2007-10-21,970,1212,827
2007-10-28,1004,1428,944
2007-11-04,1084,1587,1160
2007-11-11,1130,1552,1210
2007-11-18,1157,1633,1282
2007-11-25,1215,1331,1459
2007-12-02,1274,1472,1424
2007-12-09,1360,1464,1469
2007-12-16,1553,1663,1429
2007-12-23,1681,1973,1431
2007-12-30,1916,2638,1624
2008-01-06,1957,2685,1677
2008-01-13,2247,2484,1713
2008-01-20,2282,2854,2355
2008-01-27,2465,3915,2811
2008-02-03,2856,4252,3295
2008-02-10,3387,4786,3761
2008-02-17,4094,5726,4148
2008-02-24,5279,4380,4624
2008-03-02,4910,3516,4264
2008-03-09,3861,3299,3757
2008-03-16,3141,2514,3421
2008-03-23,2519,2221,3197
2008-03-30,2281,2330,2737
2008-04-06,2018,1830,2480
2008-04-13,1876,1396,2272
2008-04-20,1756,1353,2005
2008-04-27,1548,1120,1916
2008-05-04,1393,1050,1724
2008-05-11,1385,982,1524
2008-05-18,1211,845,1402
2008-05-25,1095,735,1298
2008-06-01,1011,689,1151
2008-06-08,962,645,1060
2008-06-15,908,666,989
2008-06-22,829,674,924
2008-06-29,792,678,884
2008-07-06,752,605,836
2008-07-13,700,538,798
2008-07-20,663,534,753
2008-07-27,658,542,716
2008-08-03,611,549,684
2008-08-10,622,514,641
2008-08-17,599,528,618
2008-08-24,590,546,583
2008-08-31,586,568,565
2008-09-07,579,627,545
2008-09-14,589,688,549
2008-09-21,585,770,599
2008-09-28,617,1011,626
2008-10-05,660,1288,704
2008-10-12,705,1351,797
2008-10-19,817,1292,938
2008-10-26,920,1473,1074
2008-11-02,1020,1259,1197
2008-11-09,1218,1498,1242
2008-11-16,1474,1944,1211
2008-11-23,1608,1564,1312
2008-11-30,1786,1805,1339
2008-12-07,1794,1649,1361
2008-12-14,1686,1543,1388
2008-12-21,1683,1450,1454
2008-12-28,1657,1335,1559
2009-01-04,1760,1656,1519
2009-01-11,1738,1660,1423
2009-01-18,1676,1574,1346
2009-01-25,1696,1663,1386
2009-02-01,1765,2305,1527
2009-02-08,1781,2301,1732
2009-02-15,2018,2924,2435
2009-02-22,2252,3284,2947
2009-03-01,2545,3048,3843
2009-03-08,2805,3121,4777
2009-03-15,3018,3468,4752
2009-03-22,3200,2900,4183
2009-03-29,3220,2150,3439
2009-04-05,3123,1892,2775
2009-04-12,2722,1438,2415
2009-04-19,2558,1374,2093
2009-04-26,3065,4766,2985
2009-05-03,3317,3497,4228
2009-05-10,3466,2996,4129
2009-05-17,4662,2839,3183
2009-05-24,4977,2070,2601
2009-05-31,4175,1642,2080
2009-06-07,3497,1571,1638
2009-06-14,2911,1514,1467
2009-06-21,2655,1411,1305
2009-06-28,2489,1282,1184
2009-07-05,2273,1099,1145
2009-07-12,2067,1082,1063
2009-07-19,1886,1105,1022
2009-07-26,1737,1009,983
2009-08-02,1553,976,1001
2009-08-09,1458,1040,1021
2009-08-16,1323,1027,1008
2009-08-23,1263,1143,1022
2009-08-30,1234,1653,1142
2009-09-06,1367,2583,1837
2009-09-13,1550,3259,3383
2009-09-20,2154,3767,5599
2009-09-27,3471,4653,7780
2009-10-04,4575,5469,10273
2009-10-11,5072,6988,13251
2009-10-18,6523,8950,12203
2009-10-25,8513,8210,8262
2009-11-01,8097,8223,6158
2009-11-08,7392,5500,5001
2009-11-15,5976,3719,3715
2009-11-22,4568,3086,2984
2009-11-29,3836,2404,2549
2009-12-06,3256,2225,2166
2009-12-13,2826,1891,1911
2009-12-20,2594,1682,1806
2009-12-27,2418,1678,1786
2010-01-03,2191,2049,1745
2010-01-10,2019,1697,1742
2010-01-17,1898,1515,1636
2010-01-24,1838,1536,1740
2010-01-31,1893,1742,1652
2010-02-07,1846,1696,1641
2010-02-14,1800,1624,1578
2010-02-21,1808,1919,1602
2010-02-28,1692,1736,1662
2010-03-07,1715,1405,1688
2010-03-14,1716,1485,1615
2010-03-21,1780,1521,1598
2010-03-28,1710,1342,1633
2010-04-04,1606,1277,1541
2010-04-11,1493,1138,1405
2010-04-18,1437,936,1299
2010-04-25,1368,940,1218
2010-05-02,1280,935,1150
2010-05-09,1224,915,1125
2010-05-16,1175,904,1065
2010-05-23,1164,915,1033
2010-05-30,1115,1017,1043
2010-06-06,1086,904,964
2010-06-13,1021,803,943
2010-06-20,986,800,939
2010-06-27,959,767,906
2010-07-04,904,710,861
2010-07-11,878,646,822
2010-07-18,872,656,788
2010-07-25,867,611,745
2010-08-01,849,582,711
2010-08-08,848,581,671
2010-08-15,830,571,632
2010-08-22,815,555,617
2010-08-29,842,556,585
2010-09-05,861,644,567
2010-09-12,845,772,596
2010-09-19,886,1048,604
2010-09-26,896,1223,635
2010-10-03,954,1286,761
2010-10-10,974,1303,845
2010-10-17,1068,1536,1081
2010-10-24,1112,1473,1302
2010-10-31,1192,1395,1440
2010-11-07,1216,1511,1543
2010-11-14,1262,1530,1548
2010-11-21,1306,1440,1597
2010-11-28,1308,1643,1580
2010-12-05,1330,1537,1538
2010-12-12,1384,1540,1520
2010-12-19,1360,1673,1437
2010-12-26,1464,1700,1464
2011-01-02,1702,2339,1668
2011-01-09,1769,2210,1651
2011-01-16,1985,1997,1754
2011-01-23,2098,2255,1930
2011-01-30,2138,1956,1947
2011-02-06,2369,2414,2208
2011-02-13,2362,2857,2711
2011-02-20,2540,2759,2865
2011-02-27,3075,3346,3342
2011-03-06,3103,2685,3082
2011-03-13,2954,2594,3470
2011-03-20,2737,2330,3216
2011-03-27,2638,1734,2827
2011-04-03,2346,1309,2435
2011-04-10,2018,1416,2126
2011-04-17,1795,1318,1833
2011-04-24,1655,1285,1588
2011-05-01,1522,1202,1487
2011-05-08,1451,987,1379
2011-05-15,1355,895,1251
2011-05-22,1275,821,1144
2011-05-29,1197,850,1084
2011-06-05,1087,858,1079
2011-06-12,999,734,1004
2011-06-19,931,679,942
2011-06-26,874,631,922
2011-07-03,816,597,882
2011-07-10,777,576,829
2011-07-17,722,566,765
2011-07-24,717,553,715
2011-07-31,699,513,701
2011-08-07,648,483,671
2011-08-14,625,485,653
2011-08-21,597,495,630
2011-08-28,575,475,610
2011-09-04,548,524,614
2011-09-11,540,550,613
2011-09-18,518,808,634
2011-09-25,516,1046,651
2011-10-02,534,1102,697
2011-10-09,574,1317,861
2011-10-16,649,1564,956
2011-10-23,684,1653,1085
2011-10-30,707,1669,1169
2011-11-06,813,1706,1335
2011-11-13,951,1837,1335
2011-11-20,1100,1965,1333
2011-11-27,1130,2076,1298
2011-12-04,1201,2144,1239
2011-12-11,1222,2179,1223
2011-12-18,1244,2608,1274
2011-12-25,1253,3377,1395
2012-01-01,1294,3104,1622
2012-01-08,1347,2975,1644
2012-01-15,1392,2474,1494
2012-01-22,1402,2337,1447
2012-01-29,1412,2521,1398
2012-02-05,1507,2449,1658
2012-02-12,1563,2941,2046
2012-02-19,1579,3194,2518
2012-02-26,1611,2994,2652
2012-03-04,1599,3134,2721
2012-03-11,1614,3564,2650
2012-03-18,1726,3335,2610
2012-03-25,2012,3260,2558
2012-04-01,2282,3505,2453
2012-04-08,2447,3750,2269
2012-04-15,2425,3049,1995
2012-04-22,2349,2863,1861
2012-04-29,2435,2608,1628
2012-05-06,2552,2652,1463
2012-05-13,2289,2543,1332
2012-05-20,2116,2187,1221
2012-05-27,1857,2025,1156
2012-06-03,1612,1686,1090
2012-06-10,1460,1717,1094
2012-06-17,1387,1684,1042
2012-06-24,1297,1297,1038
2012-07-01,1235,1022,933
2012-07-08,1142,984,921
2012-07-15,1117,998,840
2012-07-22,1011,877,802
2012-07-29,943,795,772
2012-08-05,877,784,756
2012-08-12,827,910,735
2012-08-19,800,950,709
2012-08-26,776,1061,686
2012-09-02,765,1187,694
2012-09-09,745,1278,722
2012-09-16,736,1524,789
2012-09-23,771,1966,958
2012-09-30,869,2456,1102
2012-10-07,989,2796,1416
2012-10-14,1184,2695,1612
2012-10-21,1283,2962,1923
2012-10-28,1426,3011,1947
